wallet,eligibleOzWei,payoutUsdc6
0x0332972028d900b788254f19549c2f94979a5f1f,864000000000000000000,10856999246
0x5ca7541e7e7ea07dc0114d64090df3f39af5623c,1000000000000000000000,12565971350
0xa91d0b0c4e9bd587aee3cf61ada8ea0ea69b0093,1035000000000000000000,13005780347
0xb2b7438c699e5b2389a15094ebaf1640eb96caeb,1080000000000000000000,13571249057
